Geography,Total Population,Male,Female,Median age (years),Male Median age (years),Female Median age (years),Average Household size*,Average Family size*,Persons Under 5 years,Persons Under 18 years,Persons Age 21+,Persons Age 55+,Persons Age 60+,Persons Age 65+,Percent Population Female,Percent Population Less than 18,,Geoid,
California,"39,538,223","19,549,003","19,989,220",37.5,36.3,38.7,N/A,N/A,"2,137,439","8,711,118","29,188,764","10,887,954","8,367,217","6,017,164",50.6%,22.0%,,0400000US06,
Alameda County,"1,682,353","824,426","857,927",37.7,36.9,38.5,N/A,N/A,"89,533","343,965","1,270,547","440,539","335,671","240,483",51.0%,20.4%,,0500000US06001,
Alameda city,"78,280","37,328","40,952",41.4,40.0,42.9,N/A,N/A,"4,118","15,609","60,466","23,747","18,623","13,711",52.3%,19.9%,,1600000US0600562,
Albany city,"20,271","9,657","10,614",36.3,34.6,37.8,N/A,N/A,"1,057","4,382","14,403","5,046","3,992","3,036",52.4%,21.6%,,1600000US0600674,
Ashland CDP,"23,823","11,657","12,166",34.5,33.7,35.3,N/A,N/A,"1,508","5,685","17,212","5,152","3,718","2,439",51.1%,23.9%,,1600000US0602980,
Berkeley city,"124,321","60,913","63,408",31.3,30.9,31.7,N/A,N/A,"4,097","15,394","92,716","30,312","24,485","18,926",51.0%,12.4%,,1600000US0606000,
Castro Valley CDP,"66,441","32,275","34,166",40.9,40.0,41.9,N/A,N/A,"3,520","14,316","49,881","20,782","15,958","11,229",51.4%,21.5%,,1600000US0611964,
Cherryland CDP,"15,808","7,935","7,873",35.2,34.9,35.4,N/A,N/A,982,"3,733","11,417","3,612","2,689","1,831",49.8%,23.6%,,1600000US0612902,
Dublin city,"72,589","34,737","37,852",36.4,36.0,36.8,N/A,N/A,"4,900","19,085","51,517","12,580","8,868","5,972",52.1%,26.3%,,1600000US0620018,
Emeryville city,"12,905","6,278","6,627",35.0,34.7,35.4,N/A,N/A,578,"1,395","11,292","2,652","2,067","1,508",51.4%,10.8%,,1600000US0622594,
Fairview CDP,"11,341","5,631","5,710",41.3,40.3,42.6,N/A,N/A,617,"2,163","8,836","3,731","2,895","2,069",50.3%,19.1%,,1600000US0623350,
Fremont city,"230,504","115,285","115,219",38.0,37.4,38.5,N/A,N/A,"13,494","54,013","169,599","57,410","42,790","30,066",50.0%,23.4%,,1600000US0626000,
Hayward city,"162,954","80,326","82,628",36.2,35.5,36.9,N/A,N/A,"9,387","34,564","121,480","41,032","30,644","21,240",50.7%,21.2%,,1600000US0633000,
Livermore city,"87,955","43,572","44,383",39.9,38.9,40.9,N/A,N/A,"5,000","19,538","65,439","25,538","18,647","12,797",50.5%,22.2%,,1600000US0641992,
Newark city,"47,529","23,924","23,605",36.8,36.0,37.7,N/A,N/A,"3,179","9,786","36,166","12,271","9,099","6,328",49.7%,20.6%,,1600000US0650916,
Oakland city,"440,646","214,508","226,138",37.2,36.6,37.7,N/A,N/A,"23,210","84,252","343,201","109,149","84,326","61,534",51.3%,19.1%,,1600000US0653000,
Piedmont city,"11,270","5,531","5,739",45.7,44.8,46.5,N/A,N/A,487,"2,986","7,886","3,898","3,107","2,382",50.9%,26.5%,,1600000US0656938,
Pleasanton city,"79,871","39,043","40,828",41.4,40.5,42.2,N/A,N/A,"3,543","19,151","57,861","23,223","17,197","12,408",51.1%,24.0%,,1600000US0657792,
San Leandro city,"91,008","43,854","47,154",40.7,39.1,42.3,N/A,N/A,"4,562","17,334","70,566","28,429","21,761","15,346",51.8%,19.0%,,1600000US0668084,
San Lorenzo CDP,"29,581","14,479","15,102",39.4,38.0,40.6,N/A,N/A,"1,543","6,293","22,196","8,501","6,487","4,479",51.1%,21.3%,,1600000US0668112,
Sunol CDP,922,464,458,51.7,51.5,52.2,N/A,N/A,27,132,759,428,335,247,49.7%,14.3%,,1600000US0677042,
Union City city,"70,143","34,908","35,235",39.6,37.8,41.4,N/A,N/A,"3,580","13,409","54,331","21,226","16,556","11,881",50.2%,19.1%,,1600000US0681204,
Alpine County,"1,204",633,571,50.1,50.4,49.0,N/A,N/A,52,195,979,529,418,301,47.4%,16.2%,,0500000US06003,
Alpine Village CDP,224,106,118,55.0,55.5,54.5,N/A,N/A,3,28,194,112,84,68,52.7%,12.5%,,1600000US0601228,
Bear Valley CDP,128,76,52,54.0,56.0,48.0,N/A,N/A,9,25,98,64,52,40,40.6%,19.5%,,1600000US0604716,
Kirkwood CDP (part),108,75,33,32.0,29.8,48.8,N/A,N/A,1,6,98,31,23,15,30.6%,5.6%,,1550000US0638646003,
Markleeville CDP,191,110,81,57.6,58.8,46.9,N/A,N/A,6,26,155,105,83,56,42.4%,13.6%,,1600000US0645988,
Mesa Vista CDP,217,109,108,55.5,55.8,54.5,N/A,N/A,6,25,191,110,97,64,49.8%,11.5%,,1600000US0647086,
Amador County,"40,474","22,067","18,407",51.6,49.8,54.2,N/A,N/A,"1,648","6,432","33,133","18,513","15,109","11,480",45.5%,15.9%,,0500000US06005,
Amador City city,200,96,104,46.5,40.6,53.0,N/A,N/A,15,31,166,85,71,58,52.0%,15.5%,,1600000US0601514,
Amador Pines CDP,"1,118",550,568,61.6,60.3,62.9,N/A,N/A,34,122,980,692,595,446,50.8%,10.9%,,1600000US0601518,
Buckhorn CDP,"2,597","1,394","1,203",59.5,60.5,58.4,N/A,N/A,71,355,"2,195","1,488","1,280",948,46.3%,13.7%,,1600000US0608680,
Buena Vista CDP,542,284,258,41.3,42.3,40.3,N/A,N/A,33,127,390,203,157,102,47.6%,23.4%,,1600000US0608828,
Camanche North Shore CDP,"1,070",559,511,41.0,40.6,41.6,N/A,N/A,67,258,787,374,288,201,47.8%,24.1%,,1600000US0610042,
Camanche Village CDP,964,467,497,45.5,43.4,48.4,N/A,N/A,57,245,697,313,220,162,51.6%,25.4%,,1600000US0610044,
Drytown CDP,186,98,88,51.5,49.5,56.5,N/A,N/A,10,22,162,89,74,62,47.3%,11.8%,,1600000US0619976,
Fiddletown CDP,279,124,155,57.1,57.6,56.4,N/A,N/A,8,44,229,150,130,98,55.6%,15.8%,,1600000US0623980,
Ione city,"5,141","2,641","2,500",43.6,41.5,45.7,N/A,N/A,304,"1,087","3,903","1,845","1,501","1,139",48.6%,21.1%,,1600000US0636672,
Jackson city,"5,019","2,312","2,707",49.2,43.3,54.1,N/A,N/A,249,973,"3,925","2,184","1,873","1,527",53.9%,19.4%,,1600000US0636980,
Kirkwood CDP (part),82,46,36,56.0,58.0,49.5,N/A,N/A,1,5,74,46,25,15,43.9%,6.1%,,1550000US0638646005,
Lockwood CDP,495,297,198,61.1,61.5,59.7,N/A,N/A,10,47,438,299,260,183,40.0%,9.5%,,1600000US0642142,
Martell CDP,207,106,101,53.9,53.4,54.3,N/A,N/A,17,49,151,95,65,60,48.8%,23.7%,,1600000US0646100,
Pine Grove CDP,"2,891","1,474","1,417",55.7,53.0,58.5,N/A,N/A,131,452,"2,373","1,472","1,216",901,49.0%,15.6%,,1600000US0657148,
Pioneer CDP,"1,066",546,520,56.8,55.3,58.6,N/A,N/A,27,154,903,574,450,355,48.8%,14.4%,,1600000US0657330,
Plymouth city,"1,078",530,548,46.8,44.5,48.2,N/A,N/A,50,215,826,430,342,251,50.8%,19.9%,,1600000US0657834,
Red Corral CDP,"1,687",805,882,50.9,50.3,51.6,N/A,N/A,65,291,"1,304",774,644,530,52.3%,17.2%,,1600000US0659896,
River Pines CDP,390,185,205,53.8,43.2,56.8,N/A,N/A,19,86,300,189,151,95,52.6%,22.1%,,1600000US0661124,
Sutter Creek city,"2,646","1,234","1,412",49.2,45.6,52.6,N/A,N/A,123,494,"2,075","1,171",969,767,53.4%,18.7%,,1600000US0677392,
Volcano CDP,104,38,66,55.5,52.0,60.0,N/A,N/A,1,17,85,53,48,41,63.5%,16.3%,,1600000US0683094,
Butte County,"211,632","104,641","106,991",37.9,36.9,39.0,N/A,N/A,"11,199","43,293","156,699","66,939","54,054","40,155",50.6%,20.5%,,0500000US06007,
Bangor CDP,695,353,342,45.5,46.8,43.0,N/A,N/A,46,154,519,252,205,139,49.2%,22.2%,,1600000US0603792,
Berry Creek CDP,"1,637",905,732,55.5,53.6,56.3,N/A,N/A,71,216,"1,382",836,671,481,44.7%,13.2%,,1600000US0606070,
Biggs city,"1,964",966,998,35.4,33.1,37.0,N/A,N/A,133,543,"1,335",540,400,271,50.8%,27.6%,,1600000US0606560,
Butte Creek Canyon CDP,780,375,405,58.4,60.4,56.9,N/A,N/A,22,122,643,431,365,277,51.9%,15.6%,,1600000US0609310,
Butte Meadows CDP,74,38,36,40.3,44.0,32.5,N/A,N/A,3,9,62,29,27,21,48.6%,12.2%,,1600000US0609318,
Butte Valley CDP,945,452,493,48.7,43.0,52.0,N/A,N/A,55,189,733,389,322,217,52.2%,20.0%,,1600000US0609324,
Cherokee CDP,88,51,37,45.5,39.5,57.1,N/A,N/A,6,22,61,35,21,13,42.0%,25.0%,,1600000US0612818,
Chico city,"101,475","49,182","52,293",33.2,32.0,34.4,N/A,N/A,"5,247","19,373","73,970","26,278","21,276","15,999",51.5%,19.1%,,1600000US0613014,
Clipper Mills CDP,160,78,82,60.1,64.3,54.0,N/A,N/A,6,27,132,88,81,63,51.3%,16.9%,,1600000US0614148,
Cohasset CDP,830,445,385,50.3,51.3,49.4,N/A,N/A,35,146,672,359,294,226,46.4%,17.6%,,1600000US0614442,
Concow CDP,402,249,153,50.3,50.8,50.1,N/A,N/A,21,55,333,177,148,103,38.1%,13.7%,,1600000US0616035,
Durham CDP,"5,834","2,952","2,882",45.3,44.4,45.9,N/A,N/A,273,"1,269","4,399","2,161","1,746","1,341",49.4%,21.8%,,1600000US0620270,
Forbestown CDP,396,225,171,48.2,44.1,54.0,N/A,N/A,21,96,289,154,121,85,43.2%,24.2%,,1600000US0624750,
Forest Ranch CDP,"1,304",690,614,51.8,51.0,53.0,N/A,N/A,57,238,"1,038",594,481,350,47.1%,18.3%,,1600000US0624918,
Gridley city,"7,421","3,638","3,783",36.1,34.2,37.4,N/A,N/A,495,"1,980","5,175","2,009","1,590","1,169",51.0%,26.7%,,1600000US0631260,
Honcut CDP,306,168,138,45.3,43.7,47.0,N/A,N/A,16,65,224,115,85,63,45.1%,21.2%,,1600000US0634428,
