ID,SALES_PRICE,FINISHED_AREA,BEDROOMS,BATHROOMS,GARAGE_SIZE,YEAR_BUILT,STYLE,LOT_SIZE,AIR_CONDITIONER,POOL,QUALITY,HIGHWAY
1,360000,3032,4,4,2,1972,1,22221,YES,NO,MEDIUM,NO
2,340000,2058,4,2,2,1976,1,22912,YES,NO,MEDIUM,NO
3,250000,1780,4,3,2,1980,1,21345,YES,NO,MEDIUM,NO
4,205500,1638,4,2,2,1963,1,17342,YES,NO,MEDIUM,NO
5,275500,2196,4,3,2,1968,7,21786,YES,NO,MEDIUM,NO
6,248000,1966,4,3,5,1972,1,18902,YES,YES,MEDIUM,NO
7,229900,2216,3,2,2,1972,7,18639,YES,NO,MEDIUM,NO
8,150000,1597,2,1,1,1955,1,22112,YES,NO,MEDIUM,NO
9,195000,1622,3,2,2,1975,1,14321,YES,NO,LOW,NO
10,160000,1976,3,3,1,1918,1,32358,NO,NO,LOW,NO
11,190000,2812,7,5,2,1966,7,56639,NO,YES,LOW,NO
12,559000,2791,3,4,3,1992,1,30595,YES,NO,HIGH,NO
13,535000,3381,5,4,3,1988,7,23172,YES,NO,HIGH,NO
14,525000,3459,5,4,2,1978,5,35351,YES,NO,HIGH,NO
15,299900,2090,3,3,2,1987,1,24025,YES,NO,MEDIUM,NO
16,527000,3232,5,5,2,1984,6,21445,YES,NO,MEDIUM,NO
17,169900,1502,2,2,2,1956,1,28958,YES,NO,MEDIUM,NO
18,335250,2747,3,4,2,1993,7,22241,YES,NO,MEDIUM,NO
19,323900,2890,4,3,2,1954,7,41992,YES,NO,MEDIUM,NO
20,200000,1825,3,3,2,1957,1,30266,YES,NO,MEDIUM,NO
21,211000,1578,4,3,2,1986,2,18829,YES,NO,MEDIUM,NO
22,212000,1763,3,3,2,1959,1,24726,YES,NO,MEDIUM,NO
23,245000,2517,4,3,2,1965,1,23261,YES,NO,MEDIUM,NO
24,140400,1872,3,2,2,1985,3,24017,YES,NO,MEDIUM,NO
25,295000,3266,3,3,2,1908,6,24881,YES,NO,MEDIUM,NO
26,170900,2020,1,2,1,1956,1,21385,YES,NO,MEDIUM,NO
27,229000,2164,4,2,2,1965,1,28291,YES,NO,MEDIUM,NO
28,218500,2080,3,2,2,1959,1,14752,YES,YES,MEDIUM,NO
29,160000,2208,2,2,2,1985,7,8058,YES,NO,MEDIUM,NO
30,259000,3048,6,4,3,1960,7,29307,YES,NO,MEDIUM,NO
31,164500,1460,3,2,2,1978,1,9999,YES,NO,MEDIUM,NO
32,280000,2540,3,2,2,1940,5,42428,NO,NO,MEDIUM,NO
33,154000,2208,2,2,2,1985,7,6746,YES,NO,MEDIUM,NO
34,272000,2560,4,2,3,1977,5,36100,YES,NO,MEDIUM,NO
35,180000,2061,4,2,2,1958,1,20138,NO,NO,MEDIUM,NO
36,157500,1980,3,2,2,1957,1,32519,YES,NO,MEDIUM,NO
37,242500,3308,5,4,2,1928,5,47323,YES,NO,MEDIUM,NO
38,182000,2616,5,3,2,1955,5,11123,NO,NO,LOW,NO
39,178000,1460,4,2,2,1961,1,27095,YES,NO,LOW,NO
40,171900,1580,2,1,1,1951,4,12417,NO,NO,LOW,NO
41,165500,1460,3,2,2,1960,1,22493,YES,NO,LOW,NO
42,183500,1540,3,2,2,1992,3,15801,YES,NO,LOW,NO
43,135000,1388,2,1,2,1951,1,26106,NO,NO,LOW,NO
44,175000,1624,3,2,2,1948,1,39219,YES,NO,LOW,NO
45,149500,1580,2,1,2,1966,1,11166,YES,NO,LOW,NO
46,177500,1820,3,2,2,1960,1,22104,YES,NO,LOW,NO
47,155000,1733,4,1,1,1936,4,22398,YES,NO,LOW,NO
48,145000,1896,3,2,2,1925,6,32753,NO,NO,LOW,NO
49,178000,2038,2,2,2,1918,7,47884,NO,NO,LOW,NO
50,156000,1436,3,2,3,1920,1,43594,NO,NO,LOW,NO
51,159000,1690,3,2,1,1922,5,28518,NO,NO,LOW,NO
52,160000,1496,2,2,1,1900,5,43335,NO,NO,LOW,NO
53,112000,1668,2,1,1,1948,1,19612,NO,NO,LOW,NO
54,84000,980,1,1,1,1951,1,17686,NO,NO,LOW,NO
55,155000,2562,3,2,2,1885,7,40800,NO,NO,LOW,NO
56,360000,2304,5,4,3,1978,1,70240,YES,NO,MEDIUM,NO
57,104000,1268,2,1,1,1947,1,21067,NO,NO,LOW,NO
58,420000,2283,3,3,3,1997,1,18524,YES,NO,HIGH,YES
59,355000,2060,2,3,2,1997,1,38623,YES,NO,MEDIUM,YES
60,165000,2087,2,2,2,1966,1,24764,YES,NO,MEDIUM,YES
61,244000,2081,4,2,2,1980,3,24993,YES,NO,MEDIUM,YES
62,179900,1696,3,3,2,1978,2,22294,YES,NO,MEDIUM,YES
63,253000,2222,4,2,2,1955,1,71527,NO,NO,MEDIUM,YES
64,200000,2110,5,3,2,1957,1,15332,YES,NO,MEDIUM,YES
65,200000,1774,4,2,2,1963,1,15528,NO,NO,LOW,YES
66,147700,1592,3,2,2,1957,1,11221,YES,NO,LOW,YES
67,188700,1748,3,2,2,1972,1,23939,YES,NO,LOW,YES
68,177000,1985,3,1,2,1948,1,69975,NO,NO,LOW,YES
69,585000,2558,2,4,3,1984,3,24601,YES,YES,HIGH,NO
70,549900,4000,6,5,3,1979,10,23595,YES,YES,HIGH,NO
71,675000,3942,4,3,2,1990,7,18920,YES,NO,HIGH,NO
72,830000,3889,4,4,3,1991,7,28378,YES,NO,HIGH,NO
73,920000,3857,4,5,3,1997,1,32793,YES,NO,HIGH,NO
74,855000,4756,4,4,3,1990,7,22215,YES,NO,HIGH,NO
75,585500,3302,4,3,3,1982,7,26463,YES,NO,HIGH,NO
76,399000,2629,3,3,2,1989,9,24778,YES,NO,HIGH,NO
77,790000,4418,5,5,3,1997,7,22024,YES,NO,HIGH,NO
78,665000,4746,4,4,3,1996,7,23368,YES,NO,HIGH,NO
79,725000,3242,3,3,3,1989,1,27173,YES,NO,HIGH,NO
80,647000,2464,3,3,3,1992,1,31703,YES,NO,HIGH,NO
