HPSA Name,HPSA ID,Designation Type,HPSA Discipline Class,HPSA Score,PC MCTA Score,Primary State Abbreviation,HPSA Status,HPSA Designation Date,HPSA Designation Last Update Date,Metropolitan Indicator,HPSA Geography Identification Number,HPSA Degree of Shortage,Withdrawn Date,HPSA FTE,HPSA Designation Population,% of Population Below 100% Poverty,HPSA Formal Ratio,HPSA Population Type,Rural Status,Longitude,Latitude,BHCMIS Organization Identification Number,Break in Designation,Common County Name,Common Postal Code,Common Region Name,Common State Abbreviation,Common State County FIPS Code,Common State FIPS Code,Common State Name,County Equivalent Name,County or County Equivalent Federal Information Processing Standard Code,Discipline Class Number,HPSA Address,HPSA City,HPSA Component Name,HPSA Component Source Identification Number,HPSA Component State Abbreviation,HPSA Component Type Code,HPSA Component Type Description,HPSA Designation Population Type Description,HPSA Estimated Served Population,HPSA Estimated Underserved Population,HPSA Metropolitan Indicator Code,HPSA Population Type Code,HPSA Postal Code,HPSA Provider Ratio Goal,HPSA Resident Civilian Population,HPSA Shortage,HPSA Status Code,HPSA Type Code,HPSA Withdrawn Date String,Primary State FIPS Code,Primary State Name,Provider Type,Rural Status Code,State Abbreviation,State and County Federal Information Processing Standard Code,State FIPS Code,State Name,U.S. - Mexico Border 100 Kilometer Indicator,U.S. - Mexico Border County Indicator,Data Warehouse Record Create Date,Data Warehouse Record Create Date Text
Fruitridge/Oak Park (MSSA 139F),10699906F5,Geographic HPSA,Primary Care,0,NA,CA,Withdrawn,15/07/2003,03/11/2011,Metropolitan,06067004401,Not applicable,03/11/2011,36.3,0,,0:1,Geographic Population,Non-Rural,,,,N,"Sacramento County, CA",,Region 9,CA,06067,06,California,Sacramento,067,1,,,44.01,,CA,CT,Census Tract,Geographic Population,127050,-127050,M,TRC,,3500:1,,0,W,Hpsa Geo,11/03/2011,06,California,Not Applicable,N,CA,06067,06,California,N,N,27/03/2024,03/27/2024
Fruitridge/Oak Park (MSSA 139F),10699906F5,Geographic HPSA,Primary Care,0,NA,CA,Withdrawn,15/07/2003,03/11/2011,Metropolitan,06067004402,Not applicable,03/11/2011,36.3,0,,0:1,Geographic Population,Non-Rural,,,,N,"Sacramento County, CA",,Region 9,CA,06067,06,California,Sacramento,067,1,,,44.02,,CA,CT,Census Tract,Geographic Population,127050,-127050,M,TRC,,3500:1,,0,W,Hpsa Geo,11/03/2011,06,California,Not Applicable,N,CA,06067,06,California,N,N,27/03/2024,03/27/2024
Neighborhood Healthcare,10699906F3,Federally Qualified Health Center,Primary Care,18,17,CA,Designated,26/10/2002,12/09/2021,Non-Metropolitan,POINT,,,,293202,,,,Non-Rural,-117.071655,33.12924854,093540,N,"San Diego County, CA",92025,Region 9,CA,06073,06,California,San Diego,073,1,425 N Date St STE 203,Escondido,Neighborhood Healthcare,10699906F3,,UNK,Unknown,Federally Qualified Health Center,,,N,,92025-3413,,,,D,FQHC,,06,California,,N,CA,06073,06,California,Y,Y,27/03/2024,03/27/2024
"Clinicas De Salud Del Pueblo, Inc.",10699906F2,Federally Qualified Health Center,Primary Care,18,20,CA,Designated,11/06/2003,11/09/2021,Non-Metropolitan,POINT,,,,110879,,,,Non-Rural,-115.5615685,32.76717446,090250,N,"Imperial County, CA",92243,Region 9,CA,06025,06,California,Imperial,025,1,852 Danenberg Dr,El Centro,"Clinicas De Salud Del Pueblo, Inc.",10699906F2,,UNK,Unknown,Federally Qualified Health Center,,,N,,92243-8517,,,,D,FQHC,,06,California,,N,CA,06025,06,California,Y,Y,27/03/2024,03/27/2024
APLA HEALTH &amp; WELLNESS,10699906F1,Federally Qualified Health Center,Primary Care,16,17,CA,Designated,01/11/2013,11/09/2021,Metropolitan,POINT,,,,884408,,,,Non-Rural,-118.3028818,34.06306091,09E01052,N,"Los Angeles County, CA",90005,Region 9,CA,06037,06,California,Los Angeles,037,1,611 S Kingsley Dr,Los Angeles,APLA HEALTH &amp; WELLNESS,10699906F1,,UNK,Unknown,Federally Qualified Health Center,,,M,,90005-2319,,,,D,FQHC,,06,California,,N,CA,06037,06,California,N,N,27/03/2024,03/27/2024
SAN JOAQUIN PRIME CARE MEDICAL,10699906F0,Rural Health Clinic,Primary Care,17,NA,CA,Withdrawn,07/02/2014,23/12/2020,Unknown,POINT,,23/12/2020,,241071,,,,Rural,-119.4407952,36.60418527,,N,"Fresno County, CA",93654,Region 9,CA,06019,06,California,Fresno,019,1,826 E Manning Ave,Reedley,SAN JOAQUIN PRIME CARE MEDICAL,10699906F0,,UNK,Unknown,Rural Health Clinic,,,0,,93654-2232,,,,W,RHC,12/23/2020,06,California,,R,CA,06019,06,California,N,N,27/03/2024,03/27/2024
Campus Family Health Medical Center,10699906EZ,Rural Health Clinic,Primary Care,3,NA,CA,Withdrawn,31/01/2005,19/09/2019,Unknown,POINT,,19/09/2019,,,,,,Non-Rural,-119.6633333,36.32717372,,N,"Kings County, CA",93230,Region 9,CA,06031,06,California,Kings,031,1,355 Campus Dr STE E,Hanford,Campus Family Health Medical Center,10699906EZ,,UNK,Unknown,Rural Health Clinic,,,0,,93230-4376,,,,W,RHC,09/19/2019,06,California,,N,CA,06031,06,California,N,N,27/03/2024,03/27/2024
VALLEY FAMILY HLTH CTR/MATERNAL/CHILD CARE CTR,10699906EY,Rural Health Clinic,Primary Care,0,NA,CA,Withdrawn,13/04/2004,14/11/2016,Unknown,POINT,,,,,,,,Non-Rural,-119.6476894,36.33835904,,N,"Kings County, CA",93230,Region 9,CA,06031,06,California,Kings,031,1,1286 N Irwin St,Hanford,VALLEY FAMILY HLTH CTR/MATERNAL/CHILD CARE CTR,10699906EY,,UNK,Unknown,Rural Health Clinic,,,0,,93230-2956,,,,W,RHC,,06,California,,N,CA,06031,06,California,N,N,27/03/2024,03/27/2024
CALEXICO OUTPATIENT CENTER,10699906EX,Rural Health Clinic,Primary Care,15,19,CA,Withdrawn,07/02/2014,05/02/2024,Unknown,POINT,,05/02/2024,,74984,,,,Non-Rural,-115.4928577,32.67942646,,N,"Imperial County, CA",92231,Region 9,CA,06025,06,California,Imperial,025,1,495 E Birch St STE A,Calexico,CALEXICO OUTPATIENT CENTER,10699906EX,,UNK,Unknown,Rural Health Clinic,,,0,,92231-2374,,,,W,RHC,02/05/2024,06,California,,N,CA,06025,06,California,Y,Y,27/03/2024,03/27/2024
ORCHARD HOSPITAL MEDICAL SPECIALTY CENTER,10699906EW,Rural Health Clinic,Primary Care,15,NA,CA,Withdrawn,19/01/2005,06/02/2020,Unknown,POINT,,06/02/2020,,114235,,,,Rural,-121.691076,39.36699743,,N,"Butte County, CA",95948,Region 9,CA,06007,06,California,Butte,007,1,284 Spruce St,Gridley,ORCHARD HOSPITAL MEDICAL SPECIALTY CENTER,10699906EW,,UNK,Unknown,Rural Health Clinic,,,0,,95948-2216,,,,W,RHC,02/06/2020,06,California,,R,CA,06007,06,California,N,N,27/03/2024,03/27/2024
