st_fips,co_fips,geoid,state,Name,pov,per_pov,med_hh
00,000,00000,US,United States,"44,268,996",14.0,"57,617"
01,000,01000,AL,Alabama,"814,197",17.2,"46,309"
01,001,01001,AL,Autauga County,"7,444",13.5,"54,487"
01,003,01003,AL,Baldwin County,"24,005",11.7,"56,460"
01,005,01005,AL,Barbour County,"6,787",29.9,"32,884"
01,007,01007,AL,Bibb County,"4,099",20.1,"43,079"
01,009,01009,AL,Blount County,"8,033",14.1,"47,213"
01,011,01011,AL,Bullock County,"2,841",32.6,"34,278"
01,013,01013,AL,Butler County,"4,880",24.8,"35,409"
01,015,01015,AL,Calhoun County,"19,057",17.1,"41,778"
01,017,01017,AL,Chambers County,"6,656",19.9,"39,530"
01,019,01019,AL,Cherokee County,"4,273",16.8,"41,456"
01,021,01021,AL,Chilton County,"7,960",18.3,"44,188"
01,023,01023,AL,Choctaw County,"2,910",22.7,"32,691"
01,025,01025,AL,Clarke County,"6,977",29.0,"34,061"
01,027,01027,AL,Clay County,"2,495",18.9,"38,512"
01,029,01029,AL,Cleburne County,"2,527",17.2,"43,483"
01,031,01031,AL,Coffee County,"7,271",14.4,"48,632"
01,033,01033,AL,Colbert County,"8,982",16.7,"46,572"
01,035,01035,AL,Conecuh County,"3,464",28.1,"29,758"
01,037,01037,AL,Coosa County,"1,801",17.5,"36,441"
01,039,01039,AL,Covington County,"7,228",19.6,"35,010"
01,041,01041,AL,Crenshaw County,"2,822",20.5,"37,374"
01,043,01043,AL,Cullman County,"12,133",14.9,"41,543"
01,045,01045,AL,Dale County,"9,936",20.6,"40,523"
01,047,01047,AL,Dallas County,"13,987",35.4,"30,488"
01,049,01049,AL,DeKalb County,"14,362",20.5,"37,128"
01,051,01051,AL,Elmore County,"10,316",13.5,"54,553"
01,053,01053,AL,Escambia County,"8,020",23.3,"35,096"
01,055,01055,AL,Etowah County,"17,624",17.5,"40,972"
01,057,01057,AL,Fayette County,"3,307",20.3,"38,403"
01,059,01059,AL,Franklin County,"6,272",20.1,"37,049"
01,061,01061,AL,Geneva County,"5,495",20.9,"36,976"
01,063,01063,AL,Greene County,"2,845",34.0,"26,559"
01,065,01065,AL,Hale County,"3,495",23.7,"35,381"
01,067,01067,AL,Henry County,"3,159",18.7,"41,426"
01,069,01069,AL,Houston County,"19,878",19.4,"42,910"
01,071,01071,AL,Jackson County,"9,007",17.5,"41,407"
