County,Total_Deaths_As Expected,Total_Deaths_Better,Total_Deaths_Worse,Total_Cases_As Expected,Total_Cases_Better,Total_Cases_Worse
Alameda,1153,83,120,39450,6281,2730
Amador,20,0,12,853,0,124
Butte,348,21,0,11433,3155,0
Calaveras,11,0,0,452,0,0
Colusa,8,0,0,368,0,0
Contra Costa,827,30,52,28143,3074,1194
Del Norte,34,0,0,866,200,0
El Dorado,92,0,0,3157,0,0
Fresno,648,0,488,22218,0,13368
Glenn,0,0,0,62,0,0
Humboldt,135,0,38,3261,0,576
Imperial,103,4,11,3348,420,203
Inyo,2,0,0,261,0,0
Kern,577,14,96,22062,1742,2370
Kings,126,0,61,3468,0,1247
Lake,26,0,0,1652,0,0
Lassen,5,0,14,207,0,84
Los Angeles,6279,870,780,240728,64637,15956
Madera,34,0,0,1455,0,0
Marin,180,0,0,5405,0,0
Mariposa,3,0,0,260,0,0
Mendocino,78,0,6,2185,0,52
Merced,142,28,0,5176,2904,0
Modoc,5,0,0,114,0,0
Mono,0,0,0,81,0,0
Monterey,334,0,56,9968,0,1104
Napa,180,0,0,4218,0,0
Nevada,92,0,0,2835,0,0
Orange,1878,138,20,63651,8083,166
Placer,409,26,168,11138,1248,3129
Plumas,8,0,0,254,0,0
Riverside,1279,172,30,50990,12417,547
Sacramento,1480,70,103,51294,4680,2248
San Benito,21,0,0,730,0,0
San Bernardino,1182,46,262,52777,6748,5852
San Diego,1940,258,274,70417,16939,6118
San Francisco,560,36,474,20866,1655,8410
San Joaquin,591,81,49,22101,5286,1178
San Luis Obispo,222,0,0,5414,0,0
San Mateo,479,30,24,15200,2060,454
Santa Barbara,329,0,48,9041,0,728
Santa Clara,1337,74,213,44762,5400,4315
Santa Cruz,176,0,0,5853,0,0
Shasta,160,0,245,5313,0,3929
Siskiyou,15,0,10,658,0,112
Solano,486,0,57,13037,0,846
Sonoma,245,16,114,8292,1308,1904
Stanislaus,535,0,70,19565,0,1402
Tehama,62,0,0,1333,0,0
Trinity,2,0,0,133,0,0
Tulare,482,0,58,13193,0,1191
Tuolumne,94,0,24,1577,0,346
Ventura,530,54,14,17241,3286,290
Yolo,92,0,0,2280,0,0
Yuba,245,0,0,6981,0,0
