hpsa_name,designation_type,hpsa_discipline_class,hpsa_status,hpsa_designation_date,hpsa_designation_last_update_date,rural_status,hpsa_population_type,counties,total_population,per_pov,med_hh
Fruitridge/Oak Park (MSSA 139F),Geographic HPSA,Primary Care,Withdrawn,15/07/2003,03/11/2011,Non-Rural,Geographic Population,Sacramento,1585055,16.3,59728
Fruitridge/Oak Park (MSSA 139F),Geographic HPSA,Primary Care,Withdrawn,15/07/2003,03/11/2011,Non-Rural,Geographic Population,Sacramento,1585055,16.3,59728
Low Income - Brawley/Calipatria (MSSA 50/51),HPSA Population,Primary Care,Withdrawn,14/03/2003,13/05/2005,Rural,Native American Population HPSA,Imperial,179702,23.6,43327
Low Income - Brawley/Calipatria (MSSA 50/51),HPSA Population,Primary Care,Withdrawn,14/03/2003,13/05/2005,Rural,Native American Population HPSA,Imperial,179702,23.6,43327
Low Income - Brawley/Calipatria (MSSA 50/51),HPSA Population,Primary Care,Withdrawn,14/03/2003,13/05/2005,Non-Rural,Native American Population HPSA,Imperial,179702,23.6,43327
Low Income - Brawley/Calipatria (MSSA 50/51),HPSA Population,Primary Care,Withdrawn,14/03/2003,13/05/2005,Non-Rural,Native American Population HPSA,Orange,3186989,11.1,81642
Low Income - Brawley/Calipatria (MSSA 50/51),HPSA Population,Primary Care,Withdrawn,14/03/2003,13/05/2005,Rural,Native American Population HPSA,Imperial,179702,23.6,43327
Low Income - Brawley/Calipatria (MSSA 50/51),HPSA Population,Primary Care,Withdrawn,14/03/2003,13/05/2005,Non-Rural,Native American Population HPSA,Imperial,179702,23.6,43327
Low Income - Brawley/Calipatria (MSSA 50/51),HPSA Population,Primary Care,Withdrawn,14/03/2003,13/05/2005,Rural,Native American Population HPSA,Imperial,179702,23.6,43327
Low Income - Brawley/Calipatria (MSSA 50/51),HPSA Population,Primary Care,Withdrawn,14/03/2003,13/05/2005,Rural,Native American Population HPSA,Imperial,179702,23.6,43327
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 116q/Anaheim E/City of Orange N,HPSA Population,Primary Care,Withdrawn,24/07/2002,25/06/2014,Non-Rural,Low Income Population HPSA,Orange,3186989,11.1,81642
Low Income - MSSA 39 & 40/Arcata/Eureka/McKinleyvi,HPSA Population,Primary Care,Withdrawn,26/09/2012,01/07/2016,Rural,Low Income Population HPSA,Humboldt,136463,20,43164
Low Income - MSSA 39 & 40/Arcata/Eureka/McKinleyvi,HPSA Population,Primary Care,Withdrawn,26/09/2012,01/07/2016,Rural,Low Income Population HPSA,Humboldt,136463,20,43164
Low Income - MSSA 39 & 40/Arcata/Eureka/McKinleyvi,HPSA Population,Primary Care,Withdrawn,26/09/2012,01/07/2016,Rural,Low Income Population HPSA,Humboldt,136463,20,43164
Low Income - MSSA 39 & 40/Arcata/Eureka/McKinleyvi,HPSA Population,Primary Care,Withdrawn,26/09/2012,01/07/2016,Rural,Low Income Population HPSA,Humboldt,136463,20,43164
Low Income - MSSA 39 & 40/Arcata/Eureka/McKinleyvi,HPSA Population,Primary Care,Withdrawn,26/09/2012,01/07/2016,Rural,Low Income Population HPSA,Humboldt,136463,20,43164
Low Income - MSSA 39 & 40/Arcata/Eureka/McKinleyvi,HPSA Population,Primary Care,Withdrawn,26/09/2012,01/07/2016,Rural,Low Income Population HPSA,Humboldt,136463,20,43164
Low Income - MSSA 39 & 40/Arcata/Eureka/McKinleyvi,HPSA Population,Primary Care,Withdrawn,26/09/2012,01/07/2016,Rural,Low Income Population HPSA,Humboldt,136463,20,43164
Low Income - MSSA 39 & 40/Arcata/Eureka/McKinleyvi,HPSA Population,Primary Care,Withdrawn,26/09/2012,01/07/2016,Rural,Low Income Population HPSA,Humboldt,136463,20,43164
Low Income - MSSA 39 & 40/Arcata/Eureka/McKinleyvi,HPSA Population,Primary Care,Withdrawn,26/09/2012,01/07/2016,Rural,Low Income Population HPSA,Humboldt,136463,20,43164
Low Income - MSSA 39 & 40/Arcata/Eureka/McKinleyvi,HPSA Population,Primary Care,Withdrawn,26/09/2012,01/07/2016,Rural,Low Income Population HPSA,Humboldt,136463,20,43164
Low Income - MSSA 39 & 40/Arcata/Eureka/McKinleyvi,HPSA Population,Primary Care,Withdrawn,26/09/2012,01/07/2016,Rural,Low Income Population HPSA,Humboldt,136463,20,43164
Low Income - MSSA 39 & 40/Arcata/Eureka/McKinleyvi,HPSA Population,Primary Care,Withdrawn,26/09/2012,01/07/2016,Rural,Low Income Population HPSA,Humboldt,136463,20,43164
Low Income - MSSA 39 & 40/Arcata/Eureka/McKinleyvi,HPSA Population,Primary Care,Withdrawn,26/09/2012,01/07/2016,Rural,Low Income Population HPSA,Humboldt,136463,20,43164
Low Income - MSSA 39 & 40/Arcata/Eureka/McKinleyvi,HPSA Population,Primary Care,Withdrawn,26/09/2012,01/07/2016,Rural,Low Income Population HPSA,Humboldt,136463,20,43164
Low Income - MSSA 39 & 40/Arcata/Eureka/McKinleyvi,HPSA Population,Primary Care,Withdrawn,26/09/2012,01/07/2016,Rural,Low Income Population HPSA,Humboldt,136463,20,43164
Low Income - MSSA 39 & 40/Arcata/Eureka/McKinleyvi,HPSA Population,Primary Care,Withdrawn,26/09/2012,01/07/2016,Rural,Low Income Population HPSA,Humboldt,136463,20,43164
Low Income - MSSA 39 & 40/Arcata/Eureka/McKinleyvi,HPSA Population,Primary Care,Withdrawn,26/09/2012,01/07/2016,Rural,Low Income Population HPSA,Humboldt,136463,20,43164
Low Income - MSSA 39 & 40/Arcata/Eureka/McKinleyvi,HPSA Population,Primary Care,Withdrawn,26/09/2012,01/07/2016,Rural,Low Income Population HPSA,Humboldt,136463,20,43164
Low Income - MSSA 39 & 40/Arcata/Eureka/McKinleyvi,HPSA Population,Primary Care,Withdrawn,26/09/2012,01/07/2016,Rural,Low Income Population HPSA,Humboldt,136463,20,43164
Low Income - MSSA 39 & 40/Arcata/Eureka/McKinleyvi,HPSA Population,Primary Care,Withdrawn,26/09/2012,01/07/2016,Rural,Low Income Population HPSA,Humboldt,136463,20,43164
Low Income - MSSA 123.1/Bucks Lake/East Quincy/Cro,HPSA Population,Primary Care,Withdrawn,28/12/2006,27/06/2013,Rural,Low Income Population HPSA,Plumas,19790,12.6,53646
Low Income - MSSA 123.1/Bucks Lake/East Quincy/Cro,HPSA Population,Primary Care,Withdrawn,28/12/2006,27/06/2013,Rural,Low Income Population HPSA,Plumas,19790,12.6,53646
Fontana North/Rancho Cucamonga Northwest-MSSA 151E,Geographic HPSA,Primary Care,Withdrawn,27/12/2006,29/06/2012,Rural,Geographic Population,Placer,404739,7.2,85326
Fontana North/Rancho Cucamonga Northwest-MSSA 151E,Geographic HPSA,Primary Care,Withdrawn,27/12/2006,29/06/2012,Non-Rural,Geographic Population,San Bernardino,2181654,17.6,56194
Fontana North/Rancho Cucamonga Northwest-MSSA 151E,Geographic HPSA,Primary Care,Withdrawn,27/12/2006,29/06/2012,Non-Rural,Geographic Population,San Bernardino,2181654,17.6,56194
Fontana North/Rancho Cucamonga Northwest-MSSA 151E,Geographic HPSA,Primary Care,Withdrawn,27/12/2006,29/06/2012,Non-Rural,Geographic Population,San Bernardino,2181654,17.6,56194
Fontana North/Rancho Cucamonga Northwest-MSSA 151E,Geographic HPSA,Primary Care,Withdrawn,27/12/2006,29/06/2012,Non-Rural,Geographic Population,San Bernardino,2181654,17.6,56194
MSSA 188.2/Manton,Geographic HPSA,Primary Care,Withdrawn,22/12/2006,26/06/2017,Non-Rural,Geographic Population,Shasta,182155,17.2,46663
MSSA 188.2/Manton,Geographic HPSA,Primary Care,Withdrawn,22/12/2006,26/06/2017,Non-Rural,Geographic Population,Shasta,182155,17.2,46663
MSSA 158.2/San Diego County Estates,Geographic HPSA,Primary Care,Designated,10/04/2023,10/04/2023,Non-Rural,Geographic Population,San Diego,3298634,12.4,70693
MSSA 158.2/San Diego County Estates,Geographic HPSA,Primary Care,Designated,10/04/2023,10/04/2023,Non-Rural,Geographic Population,San Diego,3298634,12.4,70693
MSSA 219/Rancho Tehama,High Needs Geographic HPSA,Primary Care,Withdrawn,24/06/2009,07/07/2021,Rural,Geographic Population,Tehama,65829,20.9,40585
MSSA 29/Herndon/Kerman,High Needs Geographic HPSA,Primary Care,Designated,22/06/2022,22/06/2022,Rural,Geographic Population,Fresno,1008654,25.5,48323
MSSA 29/Herndon/Kerman,High Needs Geographic HPSA,Primary Care,Designated,22/06/2022,22/06/2022,Non-Rural,Geographic Population,Fresno,1008654,25.5,48323
MSSA 29/Herndon/Kerman,High Needs Geographic HPSA,Primary Care,Designated,22/06/2022,22/06/2022,Non-Rural,Geographic Population,Fresno,1008654,25.5,48323
MSSA 29/Herndon/Kerman,High Needs Geographic HPSA,Primary Care,Designated,22/06/2022,22/06/2022,Non-Rural,Geographic Population,Fresno,1008654,25.5,48323
MSSA 29/Herndon/Kerman,High Needs Geographic HPSA,Primary Care,Designated,22/06/2022,22/06/2022,Non-Rural,Geographic Population,Fresno,1008654,25.5,48323
MSSA 29/Herndon/Kerman,High Needs Geographic HPSA,Primary Care,Designated,22/06/2022,22/06/2022,Non-Rural,Geographic Population,Fresno,1008654,25.5,48323
MSSA 122/125 - Greenville/Chester,Geographic HPSA,Primary Care,Designated,14/03/2022,14/03/2022,Rural,Geographic Population,Plumas,19790,12.6,53646
MSSA 122/125 - Greenville/Chester,Geographic HPSA,Primary Care,Designated,14/03/2022,14/03/2022,Rural,Geographic Population,Plumas,19790,12.6,53646
MSSA 122/125 - Greenville/Chester,Geographic HPSA,Primary Care,Designated,14/03/2022,14/03/2022,Rural,Geographic Population,Plumas,19790,12.6,53646
LI-MFW/MSSA 230/Tipton/Tulare/Woodville,HPSA Population,Primary Care,Withdrawn,24/04/2017,02/01/2024,Non-Rural,Low Income Migrant Farmworker Population HPSA,Tulare,473117,24.7,45768
LI-MFW/MSSA 230/Tipton/Tulare/Woodville,HPSA Population,Primary Care,Withdrawn,24/04/2017,02/01/2024,Non-Rural,Low Income Migrant Farmworker Population HPSA,Tulare,473117,24.7,45768
LI-MFW/MSSA 230/Tipton/Tulare/Woodville,HPSA Population,Primary Care,Withdrawn,24/04/2017,02/01/2024,Non-Rural,Low Income Migrant Farmworker Population HPSA,Tulare,473117,24.7,45768
LI-MFW/MSSA 230/Tipton/Tulare/Woodville,HPSA Population,Primary Care,Withdrawn,24/04/2017,02/01/2024,Non-Rural,Low Income Migrant Farmworker Population HPSA,Tulare,473117,24.7,45768
LI-MFW/MSSA 230/Tipton/Tulare/Woodville,HPSA Population,Primary Care,Withdrawn,24/04/2017,02/01/2024,Non-Rural,Low Income Migrant Farmworker Population HPSA,Tulare,473117,24.7,45768
