Geography,TotalPop,MalePop,FemalePop,MedianAge,MaleMedianAge,FemaleMedianAge,Under5yoPop,Under18yoPop,Pop21andOlder,Pop55andOlder,Pop60andOlder,Pop65andOlder,PercFemale,PercUnder18yo
California,39538223,19549003,19989220,37.5,36.3,38.7,2137439,8711118,29188764,10887954,8367217,6017164,50.6,22
Alameda County,1682353,824426,857927,37.7,36.9,38.5,89533,343965,1270547,440539,335671,240483,51,20.4
Alameda city,78280,37328,40952,41.4,40,42.9,4118,15609,60466,23747,18623,13711,52.3,19.9
Albany city,20271,9657,10614,36.3,34.6,37.8,1057,4382,14403,5046,3992,3036,52.4,21.6
Ashland CDP,23823,11657,12166,34.5,33.7,35.3,1508,5685,17212,5152,3718,2439,51.1,23.9
Berkeley city,124321,60913,63408,31.3,30.9,31.7,4097,15394,92716,30312,24485,18926,51,12.4
Castro Valley CDP,66441,32275,34166,40.9,40,41.9,3520,14316,49881,20782,15958,11229,51.4,21.5
Cherryland CDP,15808,7935,7873,35.2,34.9,35.4,982,3733,11417,3612,2689,1831,49.8,23.6
Dublin city,72589,34737,37852,36.4,36,36.8,4900,19085,51517,12580,8868,5972,52.1,26.3
Emeryville city,12905,6278,6627,35,34.7,35.4,578,1395,11292,2652,2067,1508,51.4,10.8
Fairview CDP,11341,5631,5710,41.3,40.3,42.6,617,2163,8836,3731,2895,2069,50.3,19.1
Fremont city,230504,115285,115219,38,37.4,38.5,13494,54013,169599,57410,42790,30066,50,23.4
Hayward city,162954,80326,82628,36.2,35.5,36.9,9387,34564,121480,41032,30644,21240,50.7,21.2
Livermore city,87955,43572,44383,39.9,38.9,40.9,5000,19538,65439,25538,18647,12797,50.5,22.2
Newark city,47529,23924,23605,36.8,36,37.7,3179,9786,36166,12271,9099,6328,49.7,20.6
Oakland city,440646,214508,226138,37.2,36.6,37.7,23210,84252,343201,109149,84326,61534,51.3,19.1
Piedmont city,11270,5531,5739,45.7,44.8,46.5,487,2986,7886,3898,3107,2382,50.9,26.5
Pleasanton city,79871,39043,40828,41.4,40.5,42.2,3543,19151,57861,23223,17197,12408,51.1,24
San Leandro city,91008,43854,47154,40.7,39.1,42.3,4562,17334,70566,28429,21761,15346,51.8,19
San Lorenzo CDP,29581,14479,15102,39.4,38,40.6,1543,6293,22196,8501,6487,4479,51.1,21.3
Sunol CDP,922,464,458,51.7,51.5,52.2,27,132,759,428,335,247,49.7,14.3
Union City city,70143,34908,35235,39.6,37.8,41.4,3580,13409,54331,21226,16556,11881,50.2,19.1
Alpine County,1204,633,571,50.1,50.4,49,52,195,979,529,418,301,47.4,16.2
Alpine Village CDP,224,106,118,55,55.5,54.5,3,28,194,112,84,68,52.7,12.5
Bear Valley CDP,128,76,52,54,56,48,9,25,98,64,52,40,40.6,19.5
Kirkwood CDP (part),108,75,33,32,29.8,48.8,1,6,98,31,23,15,30.6,5.6
Markleeville CDP,191,110,81,57.6,58.8,46.9,6,26,155,105,83,56,42.4,13.6
Mesa Vista CDP,217,109,108,55.5,55.8,54.5,6,25,191,110,97,64,49.8,11.5
Amador County,40474,22067,18407,51.6,49.8,54.2,1648,6432,33133,18513,15109,11480,45.5,15.9
Amador City city,200,96,104,46.5,40.6,53,15,31,166,85,71,58,52,15.5
Amador Pines CDP,1118,550,568,61.6,60.3,62.9,34,122,980,692,595,446,50.8,10.9
Buckhorn CDP,2597,1394,1203,59.5,60.5,58.4,71,355,2195,1488,1280,948,46.3,13.7
Buena Vista CDP,542,284,258,41.3,42.3,40.3,33,127,390,203,157,102,47.6,23.4
Camanche North Shore CDP,1070,559,511,41,40.6,41.6,67,258,787,374,288,201,47.8,24.1
Camanche Village CDP,964,467,497,45.5,43.4,48.4,57,245,697,313,220,162,51.6,25.4
Drytown CDP,186,98,88,51.5,49.5,56.5,10,22,162,89,74,62,47.3,11.8
Fiddletown CDP,279,124,155,57.1,57.6,56.4,8,44,229,150,130,98,55.6,15.8
Ione city,5141,2641,2500,43.6,41.5,45.7,304,1087,3903,1845,1501,1139,48.6,21.1
Jackson city,5019,2312,2707,49.2,43.3,54.1,249,973,3925,2184,1873,1527,53.9,19.4
Kirkwood CDP (part),82,46,36,56,58,49.5,1,5,74,46,25,15,43.9,6.1
Lockwood CDP,495,297,198,61.1,61.5,59.7,10,47,438,299,260,183,40,9.5
Martell CDP,207,106,101,53.9,53.4,54.3,17,49,151,95,65,60,48.8,23.7
Pine Grove CDP,2891,1474,1417,55.7,53,58.5,131,452,2373,1472,1216,901,49,15.6
Pioneer CDP,1066,546,520,56.8,55.3,58.6,27,154,903,574,450,355,48.8,14.4
Plymouth city,1078,530,548,46.8,44.5,48.2,50,215,826,430,342,251,50.8,19.9
Red Corral CDP,1687,805,882,50.9,50.3,51.6,65,291,1304,774,644,530,52.3,17.2
River Pines CDP,390,185,205,53.8,43.2,56.8,19,86,300,189,151,95,52.6,22.1
Sutter Creek city,2646,1234,1412,49.2,45.6,52.6,123,494,2075,1171,969,767,53.4,18.7
Volcano CDP,104,38,66,55.5,52,60,1,17,85,53,48,41,63.5,16.3
Butte County,211632,104641,106991,37.9,36.9,39,11199,43293,156699,66939,54054,40155,50.6,20.5
