metropolitan_indicator,designation_type,hpsa_status,hpsa_score,hpsa_designation_population,u_s_mexico_border_county_indicator,rural_status,hpsa_population_type
Metropolitan,Geographic HPSA,Withdrawn,0,0,N,non_rural,native_american
Non-Metropolitan,HPSA Population,Withdrawn,0,17542,Y,rural,native_american
Non-Metropolitan,HPSA Population,Withdrawn,0,17542,Y,non_rural,native_american
Non-Metropolitan,HPSA Population,Withdrawn,0,17542,N,non_rural,native_american
Metropolitan,HPSA Population,Withdrawn,11,37037,N,non_rural,migrant_population
Unknown,HPSA Population,Withdrawn,8,36084,N,rural,migrant_population
Non-Metropolitan,HPSA Population,Withdrawn,8,2026,N,rural,migrant_population
Metropolitan,Geographic HPSA,Withdrawn,0,114726,N,rural,native_american
Metropolitan,Geographic HPSA,Withdrawn,0,114726,N,non_rural,native_american
Unknown,Geographic HPSA,Withdrawn,10,6262,N,non_rural,native_american
Unknown,Geographic HPSA,Designated,10,10442,Y,non_rural,native_american
Unknown,High Needs Geographic HPSA,Withdrawn,17,5032,N,rural,native_american
Unknown,High Needs Geographic HPSA,Designated,18,51049,N,rural,native_american
Unknown,High Needs Geographic HPSA,Designated,18,51049,N,non_rural,native_american
Unknown,Geographic HPSA,Designated,12,6271,N,rural,native_american
Unknown,HPSA Population,Withdrawn,15,45765,N,non_rural,migrant_population
Unknown,Geographic HPSA,Designated,9,101329,N,non_rural,native_american
Unknown,Geographic HPSA,Designated,13,5894,N,non_rural,native_american
Non-Metropolitan,HPSA Population,Withdrawn,0,93066,N,non_rural,migrant_population
Non-Metropolitan,HPSA Population,Withdrawn,0,93066,N,rural,migrant_population
Unknown,HPSA Population,Withdrawn,12,42478,N,rural,migrant_population
Unknown,HPSA Population,Withdrawn,12,42478,N,non_rural,migrant_population
Unknown,HPSA Population,Withdrawn,12,42478,N,unknown,migrant_population
Non-Metropolitan,HPSA Population,Withdrawn,0,22458,N,rural,migrant_population
Non-Metropolitan,HPSA Population,Withdrawn,0,11457,N,rural,migrant_population
Non-Metropolitan,HPSA Population,Withdrawn,0,11457,N,non_rural,migrant_population
Unknown,Geographic HPSA,Withdrawn,11,78047,Y,non_rural,native_american
Non-Metropolitan,Geographic HPSA,Withdrawn,0,6472,N,non_rural,native_american
Metropolitan,Geographic HPSA,Withdrawn,0,102513,N,non_rural,native_american
Unknown,HPSA Population,Withdrawn,14,113106,N,non_rural,migrant_population
Unknown,HPSA Population,Designated,13,43716,N,non_rural,migrant_population
Unknown,Geographic HPSA,Designated,15,5735,N,rural,native_american
Unknown,High Needs Geographic HPSA,Designated,13,1623,N,rural,native_american
Unknown,Geographic HPSA,Withdrawn,16,44976,N,rural,native_american
Unknown,Geographic HPSA,Withdrawn,16,44976,N,non_rural,native_american
Unknown,HPSA Population,Designated,15,17253,N,rural,migrant_population
Unknown,Geographic HPSA,Designated,11,51192,N,non_rural,native_american
Unknown,HPSA Population,Designated,8,44911,N,unknown,native_american
Unknown,HPSA Population,Designated,8,44911,N,non_rural,native_american
Unknown,HPSA Population,Designated,13,45249,Y,non_rural,native_american
Unknown,Geographic HPSA,Designated,13,5531,N,rural,native_american
Unknown,High Needs Geographic HPSA,Designated,13,3501,N,rural,native_american
Unknown,HPSA Population,Designated,17,65291,N,non_rural,migrant_population
Unknown,HPSA Population,Designated,13,44516,N,non_rural,migrant_population
Unknown,HPSA Population,Designated,19,71846,N,non_rural,native_american
Unknown,Geographic HPSA,Designated,11,12338,N,rural,native_american
Unknown,HPSA Population,Designated,15,70725,N,non_rural,migrant_population
Unknown,Geographic HPSA,Designated,12,142648,N,unknown,native_american
Unknown,Geographic HPSA,Designated,12,142648,N,non_rural,native_american
Unknown,Geographic HPSA,Designated,16,5129,N,unknown,native_american
Unknown,HPSA Population,Designated,4,42463,N,non_rural,migrant_population
Unknown,Geographic HPSA,Designated,16,17994,N,non_rural,native_american
