hpsa_name,metropolitan_indicator,designation_type,hpsa_discipline_class,hpsa_status,hpsa_score,hpsa_designation_population,u_s_mexico_border_county_indicator,rural_status,hpsa_population_type
Low Income - Brawley/Calipatria (MSSA 50/51),Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,17542,Y,Rural,Native American Population HPSA
Low Income - MSSA 116q/Anaheim E/City of Orange N,Metropolitan,HPSA Population,Primary Care,Withdrawn,11,37037,N,Non-Rural,Low Income Population HPSA
Low Income - MSSA 39 & 40/Arcata/Eureka/McKinleyvi,Unknown,HPSA Population,Primary Care,Withdrawn,8,36084,N,Rural,Low Income Population HPSA
Low Income - MSSA 123.1/Bucks Lake/East Quincy/Cro,Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,8,2026,N,Rural,Low Income Population HPSA
Fontana North/Rancho Cucamonga Northwest-MSSA 151E,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,114726,N,Rural,Geographic Population
MSSA 188.2/Manton,Unknown,Geographic HPSA,Primary Care,Withdrawn,10,6262,N,Non-Rural,Geographic Population
MSSA 158.2/San Diego County Estates,Unknown,Geographic HPSA,Primary Care,Designated,10,10442,Y,Non-Rural,Geographic Population
MSSA 219/Rancho Tehama,Unknown,High Needs Geographic HPSA,Primary Care,Withdrawn,17,5032,N,Rural,Geographic Population
MSSA 29/Herndon/Kerman,Unknown,High Needs Geographic HPSA,Primary Care,Designated,18,51049,N,Rural,Geographic Population
MSSA 122/125 - Greenville/Chester,Unknown,Geographic HPSA,Primary Care,Designated,12,6271,N,Rural,Geographic Population
LI-MFW/MSSA 230/Tipton/Tulare/Woodville,Unknown,HPSA Population,Primary Care,Withdrawn,15,45765,N,Non-Rural,Low Income Migrant Farmworker Population HPSA
MSSA 77.1a/Palmdale Central,Unknown,Geographic HPSA,Primary Care,Designated,9,101329,N,Non-Rural,Geographic Population
MSSA 148 - Wrightwood,Unknown,Geographic HPSA,Primary Care,Designated,13,5894,N,Non-Rural,Geographic Population
Low Income/Migrant Seasonal Farmworkers - Dinuba/C,Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,93066,N,Non-Rural,Low Income Migrant Seasonal Worker Population HPSA
Low Income/MFW/Homeless - MSSA 241a/Oxnard East,Unknown,HPSA Population,Primary Care,Withdrawn,12,42478,N,Rural,Low Income Homeless Migrant Farmworker Population HPSA
Low Income/Migrant Seasonal Farmworkers - Colusa C,Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,22458,N,Rural,Low Income Migrant Seasonal Worker Population HPSA
Low Income/Migrant Seasonal Farmworkers - Tehachap,Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,11457,N,Rural,Low Income Migrant Seasonal Worker Population HPSA
MSSA 48 - El Centro,Unknown,Geographic HPSA,Primary Care,Withdrawn,11,78047,Y,Non-Rural,Geographic Population
Lytle Creek/Wrightwood (MSSA 148),Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,6472,N,Non-Rural,Geographic Population
City Terrace East/East L.A. (MSSA 78.2D),Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,102513,N,Non-Rural,Geographic Population
Low Income/MFW/H - MSSA 35d/35f/Fresno East/North,Unknown,HPSA Population,Primary Care,Withdrawn,14,113106,N,Non-Rural,Low Income Homeless Migrant Farmworker Population HPSA
LI - MSSA 116g/Santa Ana South,Unknown,HPSA Population,Primary Care,Designated,13,43716,N,Non-Rural,Low Income Population HPSA
