County,Total_Deaths_As Expected,Total_Deaths_Better,Total_Deaths_Worse,Total_Cases_As Expected,Total_Cases_Better,Total_Cases_Worse,TotalPop,MalePop,FemalePop,MedianAge,MaleMedianAge,FemaleMedianAge,Under5yoPop,Under18yoPop,Pop21andOlder,Pop55andOlder,Pop60andOlder,Pop65andOlder,PercFemale,PercUnder18yo,num_worse,num_asexp,num_better,num_withdr,num_desig,amer_indian,black,hispanic,asian,multi_race,pac_island,white,poverty,labor_force,unemployed,median_income
Alameda,1153,83,120,39450,6281,2730,1682353,824426,857927,37.7,36.9,38.5,89533,343965,1270547,440539,335671,240483,NA,20.4,66,1253,53,92,0,4089,164053,364036,541582,70157,13020,481109,152654,831600,37400,108971
Amador,20,0,12,853,0,124,40474,22067,18407,51.6,49.8,54.2,1648,6432,33133,18513,15109,11480,45.5,15.9,4,79,NA,3,0,593,1041,6183,626,1047,92,30506,4104,14570,740,68159
Butte,348,21,0,11433,3155,0,211632,104641,106991,37.9,36.9,39,11199,43293,156699,66939,54054,40155,50.6,20.5,10,311,19,27,27,3259,3442,38515,10757,8041,460,143141,33874,91100,4900,62982
Calaveras,11,0,0,452,0,0,45292,22754,22538,51.6,50.2,52.9,1962,7955,36068,20737,17125,12762,49.8,17.6,NA,72,NA,20,0,556,400,6321,730,1539,89,35109,6198,22510,950,68298
Colusa,8,0,0,368,0,0,21839,10996,10843,35.5,34.3,36.4,1407,6106,14851,5924,4596,3251,49.6,NA,NA,35,NA,6,1,291,158,13360,282,269,60,7550,2466,10550,1000,60725
Contra Costa,827,30,52,28143,3074,1194,1165927,568066,597861,40.1,38.8,41.2,62032,263255,859415,346492,266139,192799,51.3,22.6,24,740,24,227,0,3105,98765,305190,215654,49340,5535,466451,100948,553600,24900,110595
Del Norte,34,0,0,866,200,0,27743,15035,12708,40.2,38.4,43.4,1412,5691,21274,9270,7269,5241,45.8,20.5,1,74,2,1,1,1862,967,5052,1016,945,30,16264,5368,9480,560,48108
El Dorado,92,0,0,3157,0,0,191185,94829,96356,46.3,45.3,47.4,8523,39102,146173,74409,58985,42658,50.4,20.5,4,155,2,40,12,1412,1721,25868,9619,6338,316,142857,16839,93900,3900,87689
Fresno,648,0,488,22218,0,13368,1008654,501441,507213,33.3,32.4,34.3,69464,278409,685175,241728,185590,133322,50.3,27.6,72,541,NA,308,79,5822,46942,554720,109886,20015,1562,276846,193449,458400,32300,63140
Glenn,0,0,0,62,0,0,28917,14488,14429,37.5,36.4,38.7,1844,7453,20378,8702,6816,4975,49.9,25.8,NA,22,NA,13,6,468,229,12609,741,505,34,14174,4397,12240,800,56741
Humboldt,135,0,38,3261,0,576,136463,67754,68709,39.1,38.3,39.9,6678,26654,103999,43483,35242,26122,50.3,19.5,15,256,4,61,30,6975,1679,17321,3784,6638,386,97521,25781,58800,2900,53924
Imperial,103,4,11,3348,420,203,179702,90121,89581,34.6,33.1,36.3,10762,47502,124362,45369,34747,24493,49.8,26.4,9,159,2,71,31,1343,4131,154215,2117,1004,142,16838,29738,71900,14200,50970
Inyo,2,0,0,261,0,0,19016,9616,9400,44.8,43.9,45.4,939,3836,14695,7379,6041,4512,49.4,20.2,6,81,NA,6,6,2012,169,4582,265,515,19,11339,2382,8360,320,62381
Kern,577,14,96,22062,1742,2370,909235,460227,449008,32.8,32.1,33.5,63450,257496,612107,206652,155267,107188,49.4,28.3,52,760,9,127,122,5309,46510,509761,44728,18003,1097,284704,164169,397400,32000,57926
Kings,126,0,61,3468,0,1247,152486,82573,69913,32.9,33.2,32.5,10409,40551,105533,32049,23620,16146,45.8,26.6,6,92,2,38,27,1384,9500,86302,5776,3504,314,45560,24295,57500,4400,60810
Lake,26,0,0,1652,0,0,68163,34509,33654,45,43.8,46,3617,14083,52102,26336,21150,15444,49.4,20.7,2,130,NA,5,16,1757,1144,16096,838,2393,178,44996,11196,28160,1570,55801
Lassen,5,0,14,207,0,84,32730,20720,12010,37.2,35.9,41.3,1391,5504,26375,8769,6676,4745,36.7,16.8,3,49,NA,14,0,782,2274,5861,391,891,220,18144,4805,8760,420,56923
Los Angeles,6279,870,780,240728,64637,15956,10014009,4906513,5107496,37.5,36.4,38.7,501341,2054218,7551543,2680864,2038645,1453950,NA,20.5,308,7949,517,696,692,18288,774678,4764535,1466206,221454,21481,2483423,1365808,5004300,292000,77356
Madera,34,0,0,1455,0,0,156255,77881,78374,35,34.5,35.4,10488,43026,106665,41000,31907,22959,50.2,27.5,3,75,NA,21,9,1603,4731,95416,3528,2609,193,50196,31044,64700,4600,60241
Marin,180,0,0,5405,0,0,262321,128593,133728,46.5,45.1,47.8,11547,52870,201202,97331,77677,59247,NA,20.2,2,312,6,7,0,484,5983,42278,16825,8818,433,176987,19734,132300,4900,118472
Mariposa,3,0,0,260,0,0,17131,8609,8522,52.1,50.7,53.2,730,2944,13771,7961,6540,4800,49.7,17.2,NA,35,NA,3,6,454,178,2331,255,507,29,13234,2387,7700,370,60377
Mendocino,78,0,6,2185,0,52,91601,45837,45764,43.2,41.8,44.8,4576,18850,69827,33603,27848,21176,NA,20.6,6,218,NA,36,5,3478,680,24320,1880,2541,122,56071,14539,36630,1700,57516
Merced,142,28,0,5176,2904,0,281202,140337,140865,32,31,32.9,20026,80979,184766,62992,47623,33481,50.1,28.8,NA,143,14,58,54,1232,8472,181348,20600,5545,624,71891,61359,116100,10000,54703
Modoc,5,0,0,114,0,0,8700,4347,4353,48.7,47.3,49.7,452,1795,6698,3733,3081,2320,NA,20.6,NA,35,NA,10,1,277,93,1365,68,219,24,6624,1688,3230,160,49273
Mono,0,0,0,81,0,0,13195,7048,6147,39.5,39.5,39.5,717,2640,10150,4074,3148,2128,46.6,NA,NA,44,NA,5,0,254,104,3593,310,277,46,8599,1278,9160,350,70945
Monterey,334,0,56,9968,0,1104,439035,221123,217912,35,34,36,26907,111258,307491,111166,86741,62416,49.6,25.3,33,361,2,32,44,1243,10007,261103,24738,10222,1866,123960,50725,237300,11700,81404
Napa,180,0,0,4218,0,0,138019,67777,70242,42.9,41.3,44.4,6139,27546,105537,47661,38053,28688,50.9,NA,3,216,4,9,0,487,2549,47783,11732,3431,373,68225,11814,72000,2600,94127
Nevada,92,0,0,2835,0,0,102241,50424,51817,49.7,47.8,51.6,4186,17910,81732,44944,37460,28559,50.7,17.5,NA,144,2,0,5,803,534,10138,1435,2849,170,83867,12141,47630,1990,77220
Orange,1878,138,20,63651,8083,166,3186989,1563452,1623537,39,37.6,40.3,156601,667331,2381657,912040,695534,501104,50.9,20.9,70,2249,174,86,85,6127,54025,1067103,701414,91338,8683,1211785,309402,1592500,62600,100210
