County,TotalPop,MalePop,FemalePop,MedianAge,MaleMedianAge,FemaleMedianAge,Under5yoPop,Under18yoPop,Pop21andOlder,Pop55andOlder,Pop60andOlder,Pop65andOlder,PercFemale,PercUnder18yo,num_desig,amer_indian,black,hispanic,asian,multi_race,pac_island,white,poverty,labor_force,unemployed,median_income,TotalDeaths,TotalCases,prop_hpsa,nonwhite_prop,Rating,Deaths,DeathsperThou,unempl_prop,poverty_prop,prop55older,Cases,HospNumber,CasesperThou
Alameda,1682353,824426,857927,37.7,36.9,38.5,89533,343965,1270547,440539,335671,240483,NA,20.4,0,4089,164053,364036,541582,70157,13020,481109,152654,831600,37400,108971,1356,48461,0,0.7140261288802053,As Expected,1153,0.6853496263863768,0.04497354497354497,0.09073838843572068,0.26185883699794277,39450,1253,23.44929987939511
Alameda,1682353,824426,857927,37.7,36.9,38.5,89533,343965,1270547,440539,335671,240483,NA,20.4,0,4089,164053,364036,541582,70157,13020,481109,152654,831600,37400,108971,1356,48461,0,0.7140261288802053,Better,83,0.049335662610641165,0.04497354497354497,0.09073838843572068,0.26185883699794277,6281,53,3.7334614079209296
Alameda,1682353,824426,857927,37.7,36.9,38.5,89533,343965,1270547,440539,335671,240483,NA,20.4,0,4089,164053,364036,541582,70157,13020,481109,152654,831600,37400,108971,1356,48461,0,0.7140261288802053,Worse,120,0.07132866883466193,0.04497354497354497,0.09073838843572068,0.26185883699794277,2730,66,1.6227272159885588
Butte,211632,104641,106991,37.9,36.9,39,11199,43293,156699,66939,54054,40155,50.6,20.5,27,3259,3442,38515,10757,8041,460,143141,33874,91100,4900,62982,369,14588,0.5,0.32363253194223934,As Expected,348,1.644363801315491,0.05378704720087816,0.16006086036138203,0.3162990474030392,11433,311,54.02302109321842
Butte,211632,104641,106991,37.9,36.9,39,11199,43293,156699,66939,54054,40155,50.6,20.5,27,3259,3442,38515,10757,8041,460,143141,33874,91100,4900,62982,369,14588,0.5,0.32363253194223934,Better,21,0.09922885007938309,0.05378704720087816,0.16006086036138203,0.3162990474030392,3155,19,14.907953428593029
Butte,211632,104641,106991,37.9,36.9,39,11199,43293,156699,66939,54054,40155,50.6,20.5,27,3259,3442,38515,10757,8041,460,143141,33874,91100,4900,62982,369,14588,0.5,0.32363253194223934,Worse,0,0,0.05378704720087816,0.16006086036138203,0.3162990474030392,0,10,0
Contra Costa,1165927,568066,597861,40.1,38.8,41.2,62032,263255,859415,346492,266139,192799,51.3,22.6,0,3105,98765,305190,215654,49340,5535,466451,100948,553600,24900,110595,909,32411,0,0.5999312135322366,As Expected,827,0.7093068433958558,0.044978323699421965,0.08658174997233961,0.2971815559636238,28143,740,24.137874841220764
Contra Costa,1165927,568066,597861,40.1,38.8,41.2,62032,263255,859415,346492,266139,192799,51.3,22.6,0,3105,98765,305190,215654,49340,5535,466451,100948,553600,24900,110595,909,32411,0,0.5999312135322366,Better,30,0.025730598913997187,0.044978323699421965,0.08658174997233961,0.2971815559636238,3074,24,2.6365287020542456
Contra Costa,1165927,568066,597861,40.1,38.8,41.2,62032,263255,859415,346492,266139,192799,51.3,22.6,0,3105,98765,305190,215654,49340,5535,466451,100948,553600,24900,110595,909,32411,0,0.5999312135322366,Worse,52,0.04459970478426179,0.044978323699421965,0.08658174997233961,0.2971815559636238,1194,24,1.0240778367770882
Del Norte,27743,15035,12708,40.2,38.4,43.4,1412,5691,21274,9270,7269,5241,45.8,20.5,1,1862,967,5052,1016,945,30,16264,5368,9480,560,48108,34,1066,0.5,0.41376203006163714,As Expected,34,1.2255343690300255,0.05907172995780591,0.19349024979274052,0.33413834120318636,866,74,31.21508128176477
